Taxa,Genus,Identified,Link,Taxon_Group,Family,Calcification,Morphology,Solitary_Colonial,Energetic_Resource,Feeding_Mode,Growth_Rate,Max_size_cm
Amansia rhodantha,Amansia,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=213667,Rhodophyta,Rhodomelaceae,non-calcified,branched,NA,Autotroph,Photosynthesis,NA,
Amphiroa fragilissima,Amphiroa,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145099,Rhodophyta,Corallinaceae,calcified,branched,NA,Autotroph,Photosynthesis,NA,
Avrainvillea erecta,Avrainvillea,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=221173,Chlorophyta,Dichotomosiphonaceae,non-calcified,erect,NA,Autotroph,Photosynthesis,NA,
Bare Rock,Bare Rock,yes,NA,Abiotic,NA,NA,NA,NA,NA,NA,NA,
Bare Rock - exposed,Bare Rock - exposed,yes,NA,Abiotic,NA,NA,NA,NA,NA,NA,NA,
Boodlea kaeneana,Boodlea,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=660992,Chlorophyta,Boodleaceae,non-calcified,filamentous,NA,Autotroph,Photosynthesis,NA,
brown algae1,brown algae1,no,NA,Phaeophyta,NA,non-calcified,NA,NA,Autotroph,Photosynthesis,NA,
Caulerpa racemosa,Caulerpa,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144472,Chlorophyta,Caulerpaceae,non-calcified,stolonial,NA,Autotroph,Photosynthesis,NA,
Caulerpa serrulata,Caulerpa,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=211485,Chlorophyta,Caulerpaceae,non-calcified,stolonial,NA,Autotroph,Photosynthesis,NA,
coral10,coral10,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral14,coral14,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral15,coral15,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral2,coral2,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral3,coral3,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral4,coral4,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral5,coral5,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral6,coral6,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral7,coral7,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral8,coral8,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
coral9,coral9,no,NA,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
Crustose Corallines,Crustose Corallines,yes,NA,Rhodophyta,NA,calcified,encrusting,NA,Autotroph,Photosynthesis,NA,
Cyanobacteria,Cyanobacteria,yes,NA,Cyanobacteria,Cyanobacteriaceae,non-calcified,encrusting,NA,Autotroph,Photosynthesis,NA,
Dictyosphaeria cavernosa,Dictyosphaeria,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=214395,Chlorophyta,Siphonocladaceae,non-calcified,cushion-like,NA,Autotroph,Photosynthesis,NA,
Dictyosphaeria versluysii,Dictyosphaeria,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=214397,Chlorophyta,Siphonocladaceae,non-calcified,NA,NA,Autotroph,Photosynthesis,NA,
Dictyota bartayresiana,Dictyota,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145363,Phaeophyta,Dictyoaceae,non-calcified,NA,NA,Autotroph,Photosynthesis,NA,
Dictyota friabilis,Dictyota,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=220782,Phaeophyta,Dictyoaceae,non-calcified,NA,NA,Autotroph,Photosynthesis,NA,
Discosoma nummiforme,Discosoma,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=411031,Corallimorph,Discosomidae,non-calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
Fungiidae sp.,Fungiidae,yes,NA,Coral,Fungiidae,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
Galaxaura fasciculata,Galaxaura,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=211606,Rhodophyta,Galaxauraceae,calcified,branched,NA,Autotroph,Photosynthesis,NA,
Galaxaura rugosa,Galaxaura,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145739,Rhodophyta,Galaxauraceae,calcified,branched,NA,Autotroph,Photosynthesis,NA,
Gracilaria verrucosa,Gracilaria,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=163501,Rhodophyta,Gracilariaceae,non-calcified,branched,NA,Autotroph,Photosynthesis,NA,
Grey Sponge,Grey Sponge,yes,NA,Sponge,NA,non-calcified,encrusting,NA,NA,NA,NA,
Halimeda distorta,Halimeda,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=211520,Chlorophyta,NA,calcified,NA,NA,Autotroph,Photosynthesis,NA,
Halimeda incrassata,Halimeda,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=211519,Chlorophyta,NA,calcified,NA,NA,Autotroph,Photosynthesis,NA,
Halimeda macroloba,Halimeda,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=211524,Chlorophyta,NA,calcified,NA,NA,Autotroph,Photosynthesis,NA,
Halimeda minima,Halimeda,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=372306,Chlorophyta,NA,calcified,NA,NA,Autotroph,Photosynthesis,NA,
Halimeda opuntia,Halimeda,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144482,Chlorophyta,NA,calcified,NA,NA,Autotroph,Photosynthesis,NA,
Heteractis magnifica,Heteractis,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=290090,Anemone,Stichodactylidae,non-calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
Hypnea pannosa,Hypnea,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=220816,Rhodophyta,NA,NA,NA,NA,Autotroph,Photosynthesis,NA,
Lendenfeldia chondrodes,Lendenfeldia,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=734491,Sponge,Thorectidae,non-calcified,encrusting-branched,NA,NA,NA,NA,
Leptastrea transversa,Leptastrea,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207474,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
Lithophyllum kotschyanum,Lithophyllum,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=213889,CCA,NA,NA,NA,NA,Autotroph,Photosynthesis,NA,
Lobophora variegata,Lobophora,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145381,Phaeophyta,NA,NA,NA,NA,Autotroph,Photosynthesis,NA,
Montipora,Montipora,no,NA,Coral,NA,calcified,encrusting-branched,NA,Photo-autotroph,Filter-feeder,NA,
Montipora efflorescens,Montipora,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207163,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
Montipora setosa,Montipora,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=287726,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
Padina boryana,Padina,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145383,Phaeophyta,NA,calcified,NA,NA,Autotroph,Photosynthesis,NA,
Pavona cactus,Pavona,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207312,Coral,NA,calcified,NA,NA,Photo-autotroph,Filter-feeder,NA,
Pocillopora acuta,Pocillopora,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=759099,Coral,NA,calcified,branched,NA,Photo-autotroph,Filter-feeder,NA,
Pocillopora eydouxi,Pocillopora,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206958,Coral,NA,calcified,branched,NA,Photo-autotroph,Filter-feeder,NA,
Porites,Porites,no,NA,Coral,NA,NA,NA,NA,Photo-autotroph,Filter-feeder,NA,
Porites irregularis,Porites,yes,NA,Coral,NA,calcified,massive-branched,NA,Photo-autotroph,Filter-feeder,NA,
Porites lobata,Porites,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=760319,Coral,NA,calcified,massive,NA,Photo-autotroph,Filter-feeder,NA,
Porites lutea,Porites,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=760325,Coral,NA,calcified,massive,NA,Photo-autotroph,Filter-feeder,NA,
Porites rus,Porites,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1563441,Coral,NA,calcified,massive-branched,NA,Photo-autotroph,Filter-feeder,NA,
Psammocora,Psammocora,no,NA,Coral,NA,NA,NA,NA,Photo-autotroph,Filter-feeder,NA,
Rubble,Rubble,yes,NA,Abiotic,NA,NA,NA,NA,NA,NA,NA,
Sand,Sand,yes,NA,Abiotic,NA,NA,NA,NA,NA,NA,NA,
Sargassum pacificum,Sargassum,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=376103,Phaeophyta,NA,non-calcified,branched,NA,Autotroph,Photosynthesis,NA,
Turbinaria ornata,Turbinaria,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=221490,Phaeophyta,NA,calcified,branched,NA,Autotroph,Photosynthesis,NA,
Turf,Turf,yes,NA,Turf,NA,non-calcified,filamentous,NA,NA,NA,NA,17
Valonia fastigiata,Valonia,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=211681,Chlorophyta,Valoniaceae,non-calcified,spherical,gregarious,Autotroph,Photosynthesis,NA,
Valonia macrophysa,Valonia,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145883,Chlorophyta,Valoniaceae,non-calcified,spherical,gregarious,Autotroph,Photosynthesis,NA,
Valonia ventricosa,Valonia,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145885,Chlorophyta,Valoniaceae,non-calcified,spherical,solitary,Autotroph,Photosynthesis,NA,20
Verongida sp.,Verongida,yes,NA,Sponge,NA,NA,NA,NA,NA,NA,NA,
