Location,CowTagID,Date,Taxa,SpeciesCounts,PhotoNum,Notes
Varari,V4,6/3/2022,Bare Rock,51,,
Varari,V4,6/3/2022,Sand,25,,
Varari,V4,6/3/2022,Rubble,25,,
Varari,V4,6/3/2022,Turf,10,,
Varari,V4,6/3/2022,Crustose Corallines,13,,
Varari,V4,6/3/2022,Turbinaria ornata,23,,
Varari,V4,6/3/2022,Galaxaura rugosa,1,,
Varari,V4,6/3/2022,Pocillopora acuta,7,,
Varari,V4,6/3/2022,Porites rus,6,,
Varari,V4,6/3/2022,Valonia fastigiata,2,,
Varari,V4,6/3/2022,Dictyota bartayresiana,1,,
Varari,V4,6/3/2022,Lithophyllum kotschyanum,2,,
Varari,V4,6/3/2022,Lendenfeldia chondrodes,2,,
Varari,V4,6/3/2022,Amphiroa fragilissima,1,,
Varari,V4,6/3/2022,Dictyosphaeria versluysii,1,5237-5240,identified
Varari,V4,6/3/2022,Leptastrea transversa,1,5246-5250,"identified, 'coral1'"
Varari,V4,6/3/2022,Psammocora,2,5251-5254,unidentified to species; montipora verrucosa?
Varari,V4,6/3/2022,Halimeda macroloba,2,5255-5257,"identified, 'Halimeda2'"
Varari,V4,6/3/2022,Porites,2,5258-5261,"unidentified to species; 12 tentacles, 'montipora'"
Varari,V4,6/3/2022,Halimeda incrassata,9,5262-5265,identified
Varari,V4,6/3/2022,Halimeda opuntia,5,5266-5270,identified
Varari,V4,6/3/2022,coral2,1,5271-5278,unidentified to species
Varari,V3,6/3/2022,Porites rus,16,,
Varari,V3,6/3/2022,Pocillopora acuta,13,,
Varari,V3,6/3/2022,Discosoma nummiforme ,1,,
Varari,V3,6/3/2022,Bare Rock,66,,
Varari,V3,6/3/2022,Sand,33,,
Varari,V3,6/3/2022,Rubble,2,,
Varari,V3,6/3/2022,Turf,25,,
Varari,V3,6/3/2022,Crustose Corallines,14,,
Varari,V3,6/3/2022,Turbinaria ornata,14,,
Varari,V3,6/3/2022,Amansia rhodantha,6,,
Varari,V3,6/3/2022,Valonia fastigiata,7,,
Varari,V3,6/3/2022,Dictyota bartayresiana,2,,
Varari,V3,6/3/2022,Lobophora variegata,3,,
Varari,V3,6/3/2022,Turbinaria ornata,23,,
Varari,V3,6/3/2022,Galaxaura fasciculata,1,,
Varari,V3,6/3/2022,Lithophyllum kotschyanum,5,,
Varari,V3,6/3/2022,Galaxaura rugosa,2,,
Varari,V3,6/3/2022,Leptastrea transversa,1,5182-5185,identified
Varari,V3,6/3/2022,Montipora,2,5186-5193,unidentified to species
Varari,V3,6/3/2022,coral3,2,5194-5198,unidentified to species
Varari,V3,6/3/2022,Halimeda opuntia,3,5202-5206,identified
Varari,V3,6/3/2022,coral4,1,5207-5214,unidentified to species
Varari,V3,6/3/2022,Fungiidae sp.,1,5218-5225,unidentified to species
Varari,V14,6/3/2022,Sand,190,,
Varari,V14,6/3/2022,Crustose Corallines,1,,
Varari,V14,6/3/2022,Heteractis magnifica,1,,
Varari,V14,6/3/2022,Halimeda macroloba,1,,
Varari,V14,6/3/2022,Dictyota bartayresiana,2,,
Varari,V14,6/3/2022,Lobophora variegata,2,,
Varari,V14,6/3/2022,Turbinaria ornata,2,,
Varari,V14,6/3/2022,Lithophyllum kotschyanum,1,,
Varari,V14,6/3/2022,Gracilaria verrucosa,1,,
Varari,V14,6/3/2022,Padina boryana,13,5290-5291,"identified, Fong 2014"
Varari,V14,6/3/2022,Halimeda incrassata,1,5292-5295,identified; found in sand with large holdfast
Varari,V16,6/3/2022,Montipora efflorescens,14,,
Varari,V16,6/3/2022,Porites lobata,7,,
Varari,V16,6/3/2022,Bare Rock,19,,
Varari,V16,6/3/2022,Sand,139,,
Varari,V16,6/3/2022,Rubble,18,,
Varari,V16,6/3/2022,Turf,1,,
Varari,V16,6/3/2022,Crustose Corallines,6,,
Varari,V16,6/3/2022,Dictyota bartayresiana,3,,
Varari,V16,6/3/2022,Lobophora variegata,1,,
Varari,V16,6/3/2022,Turbinaria ornata,12,,
Varari,V16,6/3/2022,Lithophyllum kotschyanum,2,,
Varari,V16,6/3/2022,Gracilaria verrucosa,1,,
Varari,V16,6/3/2022,Leptastrea transversa,1,5324-5327,identified
Varari,V16,6/3/2022,Padina boryana,1,,"identified, Fong 2014"
Varari,V17,6/3/2022,Bare Rock,5,,
Varari,V17,6/3/2022,Sand,171,,
Varari,V17,6/3/2022,Turf,3,,
Varari,V17,6/3/2022,Crustose Corallines,1,,
Varari,V17,6/3/2022,Dictyota bartayresiana,9,,
Varari,V17,6/3/2022,Lobophora variegata,1,,
Varari,V17,6/3/2022,Sargassum mangarevense,1,,
Varari,V17,6/3/2022,Turbinaria ornata,10,,
Varari,V17,6/3/2022,Lendenfeldia chondrodes,2,,
Varari,V17,6/3/2022,Padina boryana,17,,"identified, Fong 2014"
Varari,V20,6/3/2022,Porites lutea,11,,
Varari,V20,6/3/2022,Bare Rock,6,,
Varari,V20,6/3/2022,Sand,150,,
Varari,V20,6/3/2022,Turf,2,,
Varari,V20,6/3/2022,Crustose Corallines,1,,
Varari,V20,6/3/2022,Dictyota bartayresiana,1,,
Varari,V20,6/3/2022,Lobophora variegata,1,,
Varari,V20,6/3/2022,Sargassum mangarevense,1,,
Varari,V20,6/3/2022,Turbinaria ornata,7,,
Varari,V20,6/3/2022,Galaxaura rugosa,2,,
Varari,V20,6/3/2022,Amphiroa fragilissima,1,,
Varari,V20,6/3/2022,Padina boryana,17,,"identified, Fong 2014"
Varari,V18,6/4/2022,Porites rus,26,,
Varari,V18,6/4/2022,Pocillopora acuta,7,,
Varari,V18,6/4/2022,Discosoma nummiforme ,1,,
Varari,V18,6/4/2022,Bare Rock,2,,
Varari,V18,6/4/2022,Sand,24,,
Varari,V18,6/4/2022,Rubble,2,,
Varari,V18,6/4/2022,Turf,107,,
Varari,V18,6/4/2022,Crustose Corallines,4,,
Varari,V18,6/4/2022,Turbinaria ornata,12,,
Varari,V18,6/4/2022,Dictyosphaeria versluysii,1,5374,identified
Varari,V18,6/4/2022,Halimeda distorta,2,,
Varari,V18,6/4/2022,Galaxaura fasciculata,2,,
Varari,V18,6/4/2022,Lithophyllum kotschyanum,1,,
Varari,V18,6/4/2022,Amansia rhodantha,3,,
Varari,V18,6/4/2022,Lendenfeldia chondrodes,3,,
Varari,V18,6/4/2022,Grey Sponge,5,5369-5373,"Grey; unidentified to species, voucher 10"
Varari,V18,6/4/2022,Halimeda opuntia,1,,double check
Varari,V18,6/4/2022,Galaxaura rugosa,3,,
Varari,V18,6/4/2022,Leptastrea transversa,1,5375-5382,identified
Varari,V8,6/4/2022,Porites lobata,1,,
Varari,V8,6/4/2022,Porites rus,18,,
Varari,V8,6/4/2022,Pocillopora acuta,12,,
Varari,V8,6/4/2022,Bare Rock,14,,
Varari,V8,6/4/2022,Sand,36,,
Varari,V8,6/4/2022,Rubble,2,,
Varari,V8,6/4/2022,Turf,68,,
Varari,V8,6/4/2022,Crustose Corallines,11,,
Varari,V8,6/4/2022,Heteractis magnifica,27,,
Varari,V8,6/4/2022,Montipora,1,5351-5357,unidentified to species
Varari,V8,6/4/2022,Caulerpa serrulata,3,,
Varari,V8,6/4/2022,Halimeda distorta,2,,
Varari,V8,6/4/2022,Lobophora variegata,1,,
Varari,V8,6/4/2022,Galaxaura fasciculata,1,,
Varari,V8,6/4/2022,Lithophyllum kotschyanum,2,,
Varari,V8,6/4/2022,Amansia rhodantha,5,,
Varari,V8,6/4/2022,Lendenfeldia chondrodes,4,,
Varari,V8,6/4/2022,Turbinaria ornata,5,,
Varari,V8,6/4/2022,Hypnea pannosa,1,,
Varari,V19,6/4/2022,Montipora efflorescens,29,,
Varari,V19,6/4/2022,Porites rus,7,,
Varari,V19,6/4/2022,Discosoma nummiforme ,2,,
Varari,V19,6/4/2022,Bare Rock,22,,
Varari,V19,6/4/2022,Sand,74,,
Varari,V19,6/4/2022,Rubble,2,,
Varari,V19,6/4/2022,Turf,25,,
Varari,V19,6/4/2022,Crustose Corallines,8,,
Varari,V19,6/4/2022,Turbinaria ornata,13,,
Varari,V19,6/4/2022,Pocillopora acuta,3,5387-5390,"identified, one as a young acuta"
Varari,V19,6/4/2022,Leptastrea transversa,1,5391-5394,identified
Varari,V19,6/4/2022,Valonia fastigiata,2,,
Varari,V19,6/4/2022,Ventricaria ventricosa,1,,
Varari,V19,6/4/2022,Halimeda distorta,3,,
Varari,V19,6/4/2022,Halimeda macroloba,1,,
Varari,V19,6/4/2022,Dictyota bartayresiana,16,,
Varari,V19,6/4/2022,Lobophora variegata,3,,
Varari,V19,6/4/2022,Padina boryana,4,5396-5401,species assumed (Fong and Fong 2014)
Varari,V19,6/4/2022,Galaxaura fasciculata,2,,
Varari,V19,6/4/2022,Lithophyllum kotschyanum,1,,
Varari,V19,6/4/2022,Galaxaura rugosa,1,,
Varari,V19,6/4/2022,Gracilaria verrucosa,1,,
Varari,V9,6/4/2022,Porites rus,86,,
Varari,V9,6/4/2022,Bare Rock,6,,
Varari,V9,6/4/2022,Sand,68,,
Varari,V9,6/4/2022,Rubble,3,,
Varari,V9,6/4/2022,Turf,26,,
Varari,V9,6/4/2022,Crustose Corallines,1,,
Varari,V9,6/4/2022,Turbinaria ornata,6,,
Varari,V9,6/4/2022,Halimeda minima,2,53358-5341,identified
Varari,V15,6/5/2022,Montipora,5,5462-5467,"voucher 14, unidentified to species, maybe capitata?"
Varari,V15,6/5/2022,Porites irregularis,4,,
Varari,V15,6/5/2022,Porites rus,26,,
Varari,V15,6/5/2022,Pocillopora acuta,20,5456-5457,one is a young acuta
Varari,V15,6/5/2022,Leptastrea transversa,1,,
Varari,V15,6/5/2022,Discosoma nummiforme ,8,,
Varari,V15,6/5/2022,Bare Rock,7,,
Varari,V15,6/5/2022,Sand,2,,
Varari,V15,6/5/2022,Rubble,8,,
Varari,V15,6/5/2022,Turf,67,,
Varari,V15,6/5/2022,Crustose Corallines,18,,
Varari,V15,6/5/2022,Turbinaria ornata,22,,
Varari,V15,6/5/2022,Heteractis magnifica,3,,
Varari,V15,6/5/2022,Dictyosphaeria versluysii,2,,
Varari,V15,6/5/2022,Ventricaria ventricosa,1,,
Varari,V15,6/5/2022,Halimeda incrassata,3,"5458-5461, 5468-5474",voucher 13
Varari,V15,6/5/2022,Dictyota bartayresiana,2,,
Varari,V15,6/5/2022,Lobophora variegata,2,,
Varari,V15,6/5/2022,Galaxaura fasciculata,2,,
Varari,V15,6/5/2022,Lithophyllum kotschyanum,2,,
Varari,V15,6/5/2022,Amansia rhodantha,1,,
Varari,V15,6/5/2022,Lendenfeldia chondrodes,3,,
Varari,V15,6/5/2022,Galaxaura rugosa,3,,
Varari,V15,6/5/2022,Amphiroa fragilissima,1,,
Varari,V15,6/5/2022,Grey Sponge,4,,
Varari,V13,6/5/2022,Montipora efflorescens,4,5443-5451,voucher 12
Varari,V13,6/5/2022,Leptastrea transversa,1,,
Varari,V13,6/5/2022,Bare Rock,4,,
Varari,V13,6/5/2022,Sand,93,,
Varari,V13,6/5/2022,Rubble,6,,
Varari,V13,6/5/2022,Turf,37,,
Varari,V13,6/5/2022,Dictyosphaeria versluysii,3,,
Varari,V13,6/5/2022,Valonia fastigiata,1,,
Varari,V13,6/5/2022,Halimeda distorta,1,,
Varari,V13,6/5/2022,Dictyota bartayresiana,2,,
Varari,V13,6/5/2022,Lobophora variegata,1,,
Varari,V13,6/5/2022,Padina boryana,15,,
Varari,V13,6/5/2022,Galaxaura fasciculata,2,,
Varari,V13,6/5/2022,Lithophyllum kotschyanum,12,,
Varari,V13,6/5/2022,Amansia rhodantha,1,,
Varari,V13,6/5/2022,Lendenfeldia chondrodes,5,,
Varari,V13,6/5/2022,Turbinaria ornata,26,,
Varari,V13,6/5/2022,Halimeda opuntia,3,,
Varari,V13,6/5/2022,Amphiroa fragilissima,1,,
Varari,V11,6/5/2022,Porites rus,6,,
Varari,V11,6/5/2022,Pocillopora acuta,22,5478-5485,one is a young acuta
Varari,V11,6/5/2022,Leptastrea transversa,3,,
Varari,V11,6/5/2022,Discosoma nummiforme ,17,,
Varari,V11,6/5/2022,Bare Rock,12,,
Varari,V11,6/5/2022,Sand,24,,
Varari,V11,6/5/2022,Rubble,10,,
Varari,V11,6/5/2022,Turf,48,,
Varari,V11,6/5/2022,Crustose Corallines,9,,
Varari,V11,6/5/2022,Heteractis magnifica,9,,
Varari,V11,6/5/2022,Halimeda opuntia,8,,
Varari,V11,6/5/2022,Grey Sponge,1,,
Varari,V11,6/5/2022,Valonia fastigiata,1,,
Varari,V11,6/5/2022,Halimeda incrassata,1,,
Varari,V11,6/5/2022,Dictyota bartayresiana,9,,
Varari,V11,6/5/2022,Lobophora variegata,4,,
Varari,V11,6/5/2022,Turbinaria ornata,17,,
Varari,V11,6/5/2022,Galaxaura fasciculata,1,,
Varari,V11,6/5/2022,Lithophyllum kotschyanum,6,,
Varari,V11,6/5/2022,Amansia rhodantha,1,,
Varari,V11,6/5/2022,Lendenfeldia chondrodes,2,,
Varari,V11,6/5/2022,Galaxaura rugosa,1,,
Varari,V12,6/13/2022,Pavona cactus,2,,
Varari,V12,6/13/2022,Porites rus,8,,
Varari,V12,6/13/2022,Pocillopora acuta,39,,
Varari,V12,6/13/2022,Discosoma nummiforme ,3,,
Varari,V12,6/13/2022,Bare Rock,5,,
Varari,V12,6/13/2022,Sand,44,,
Varari,V12,6/13/2022,Rubble,22,,
Varari,V12,6/13/2022,Turf,52,,
Varari,V12,6/13/2022,Crustose Corallines,3,,
Varari,V12,6/13/2022,Turbinaria ornata,12,,
Varari,V12,6/13/2022,Grey Sponge,1,,
Varari,V12,6/13/2022,Heteractis magnifica,3,,
Varari,V12,6/13/2022,Dictyosphaeria versluysii,1,,
Varari,V12,6/13/2022,Dictyosphaeria cavernosa,1,,
Varari,V12,6/13/2022,Valonia fastigiata,1,,
Varari,V12,6/13/2022,Halimeda opuntia,3,,
Varari,V12,6/13/2022,Halimeda macroloba,4,,
Varari,V12,6/13/2022,Dictyota bartayresiana,2,,
Varari,V12,6/13/2022,Lobophora variegata,6,,
Varari,V12,6/13/2022,Lithophyllum kotschyanum,1,,
Varari,V12,6/13/2022,Lendenfeldia chondrodes,1,,
Varari,V12,6/13/2022,Verongida sp.,1,,
Varari,V12,6/13/2022,Galaxaura rugosa,1,,
Varari,V5,6/13/2022,Montipora setosa,10,,
Varari,V5,6/13/2022,Porites lobata,30,,
Varari,V5,6/13/2022,Porites rus,7,,
Varari,V5,6/13/2022,Pocillopora acuta,4,,
Varari,V5,6/13/2022,Discosoma nummiforme ,2,,
Varari,V5,6/13/2022,Bare Rock,10,,
Varari,V5,6/13/2022,Sand,33,,
Varari,V5,6/13/2022,Rubble,2,,
Varari,V5,6/13/2022,Turf,66,,
Varari,V5,6/13/2022,Crustose Corallines,1,,
Varari,V5,6/13/2022,Turbinaria ornata,11,,
Varari,V5,6/13/2022,Gracilaria verrucosa,2,,
Varari,V5,6/13/2022,Valonia fastigiata,2,,
Varari,V5,6/13/2022,Halimeda opuntia,3,,
Varari,V5,6/13/2022,Dictyota bartayresiana,8,,
Varari,V5,6/13/2022,Padina boryana,2,,
Varari,V5,6/13/2022,Galaxaura fasciculata,3,,
Varari,V5,6/13/2022,Lithophyllum kotschyanum,3,,
Varari,V5,6/13/2022,Lendenfeldia chondrodes,1,,
Varari,V5,6/13/2022,Galaxaura rugosa,1,,
Varari,V10,6/13/2022,Montipora efflorescens,3,,
Varari,V10,6/13/2022,Montipora setosa,2,,
Varari,V10,6/13/2022,Porites rus,16,,
Varari,V10,6/13/2022,Pocillopora acuta,40,,
Varari,V10,6/13/2022,Pocillopora eydouxi,6,5787-5796,
Varari,V10,6/13/2022,Leptastrea transversa,1,,
Varari,V10,6/13/2022,Discosoma nummiforme ,2,,
Varari,V10,6/13/2022,Bare Rock,2,,
Varari,V10,6/13/2022,Sand,4,,
Varari,V10,6/13/2022,Rubble,5,,
Varari,V10,6/13/2022,Turf,115,,
Varari,V10,6/13/2022,Crustose Corallines,5,,
Varari,V10,6/13/2022,Grey Sponge,5,,
Varari,V10,6/13/2022,Turbinaria ornata,1,,
Varari,V10,6/13/2022,Ventricaria ventricosa,1,,
Varari,V10,6/13/2022,Lithophyllum kotschyanum,1,,
Varari,V10,6/13/2022,Amansia rhodantha,1,,
Varari,V10,6/13/2022,Verongida sp.,5,,
Varari,V2,6/14/2022,Montipora efflorescens,2,,
Varari,V2,6/14/2022,Porites rus,7,,
Varari,V2,6/14/2022,Pocillopora acuta,27,,
Varari,V2,6/14/2022,Leptastrea transversa,1,,
Varari,V2,6/14/2022,Discosoma nummiforme ,2,,
Varari,V2,6/14/2022,Bare Rock,2,,
Varari,V2,6/14/2022,Sand,6,,
Varari,V2,6/14/2022,Rubble,3,,
Varari,V2,6/14/2022,Turf,43,,
Varari,V2,6/14/2022,Crustose Corallines,12,,
Varari,V2,6/14/2022,Turbinaria ornata,19,,
Varari,V2,6/14/2022,Grey Sponge,15,,
Varari,V2,6/14/2022,Dictyosphaeria versluysii,1,,
Varari,V2,6/14/2022,Valonia fastigiata,3,,
Varari,V2,6/14/2022,Caulerpa serrulata,1,,
Varari,V2,6/14/2022,Halimeda distorta,1,,
Varari,V2,6/14/2022,Halimeda opuntia,9,,
Varari,V2,6/14/2022,Halimeda incrassata,2,,
Varari,V2,6/14/2022,Halimeda macroloba,6,,
Varari,V2,6/14/2022,Dictyota friabilis,2,,
Varari,V2,6/14/2022,Dictyota bartayresiana,13,,
Varari,V2,6/14/2022,Lobophora variegata,3,,
Varari,V2,6/14/2022,Galaxaura fasciculata,1,,
Varari,V2,6/14/2022,Lithophyllum kotschyanum,2,,
Varari,V2,6/14/2022,Amansia rhodantha,1,,
Varari,V2,6/14/2022,Lendenfeldia chondrodes,8,,
Varari,V2,6/14/2022,Verongida sp.,1,,
Varari,V2,6/14/2022,Amphiroa fragilissima,1,,
Varari,V2,6/14/2022,Avrainvillea erecta,1,,
Varari,V2,6/14/2022,coral5,1,5920-5925,
Varari,V2,6/14/2022,coral6,1,5926-5929,
Varari,V2,6/14/2022,coral7,1,5930-5943,
Varari,V2,6/14/2022,coral8,1,5944-5951,
Varari,V2,6/14/2022,coral9,1,5952-5964,
Varari,V6,6/14/2022,Porites lobata,3,,
Varari,V6,6/14/2022,Porites rus,40,,
Varari,V6,6/14/2022,Pocillopora acuta,1,,
Varari,V6,6/14/2022,Bare Rock,15,,
Varari,V6,6/14/2022,Sand,48,,
Varari,V6,6/14/2022,Rubble,10,,
Varari,V6,6/14/2022,Turf,17,,
Varari,V6,6/14/2022,Crustose Corallines,1,,
Varari,V6,6/14/2022,Cyanobacteria,1,,
Varari,V6,6/14/2022,Turbinaria ornata,41,,
Varari,V6,6/14/2022,Caulerpa serrulata,1,,
Varari,V6,6/14/2022,Halimeda opuntia,7,,
Varari,V6,6/14/2022,Halimeda incrassata,6,,
Varari,V6,6/14/2022,Halimeda macroloba,3,,
Varari,V6,6/14/2022,Dictyota bartayresiana,3,,
Varari,V6,6/14/2022,Lobophora variegata,8,,
Varari,V6,6/14/2022,Padina boryana,4,,
Varari,V6,6/14/2022,Galaxaura fasciculata,5,,
Varari,V6,6/14/2022,Amansia rhodantha,1,,
Varari,V6,6/14/2022,coral10,1,5888-5895,
Varari,V6,6/14/2022,brown algae1,1,5896-5907,
Varari,V1,6/14/2022,Porites rus,73,,
Varari,V1,6/14/2022,Leptastrea transversa,1,,
Varari,V1,6/14/2022,Bare Rock,7,,
Varari,V1,6/14/2022,Sand,43,,
Varari,V1,6/14/2022,Turf,20,,
Varari,V1,6/14/2022,Crustose Corallines,6,,
Varari,V1,6/14/2022,Turbinaria ornata,22,,
Varari,V1,6/14/2022,Grey Sponge,1,,
Varari,V1,6/14/2022,Dictyosphaeria versluysii,3,,
Varari,V1,6/14/2022,Valonia fastigiata,2,,
Varari,V1,6/14/2022,Valonia macrophysa,1,,
Varari,V1,6/14/2022,Caulerpa serrulata,1,,
Varari,V1,6/14/2022,Halimeda opuntia,6,,
Varari,V1,6/14/2022,Halimeda macroloba,1,,
Varari,V1,6/14/2022,Halimeda minima,2,,check notes on minima
Varari,V1,6/14/2022,Dictyota friabilis,1,,
Varari,V1,6/14/2022,Dictyota bartayresiana,14,,
Varari,V1,6/14/2022,Lobophora variegata,3,,
Varari,V1,6/14/2022,Galaxaura fasciculata,2,,
Varari,V1,6/14/2022,Lithophyllum kotschyanum,1,,
Varari,V1,6/14/2022,Lendenfeldia chondrodes,5,,
Varari,V1,6/14/2022,Galaxaura rugosa,1,,
Varari,V7,6/13/2022,Sand,97,,
Varari,V7,6/13/2022,Porites rus,8,,
Varari,V7,6/13/2022,Turbinaria ornata,34,,
Varari,V7,6/13/2022,Turf,20,,
Varari,V7,6/13/2022,Gracilaria verrucosa,2,,
Varari,V7,6/13/2022,Bare Rock,15,,
Varari,V7,6/13/2022,Dictyota bartayresiana,15,,
Varari,V7,6/13/2022,Lendenfeldia chondrodes,4,,
Varari,V7,6/13/2022,Halimeda incrassata,4,,
Varari,V7,6/13/2022,Rubble,4,,
Varari,V7,6/13/2022,Crustose Corallines,1,,
Varari,V7,6/13/2022,Padina boryana,4,,
Varari,V7,6/13/2022,Pocillopora acuta,2,,
Varari,V7,6/13/2022,Lobophora variegata,1,,
Varari,V7,6/13/2022,Porites lobata,1,,
Varari,V7,6/13/2022,Halimeda opuntia,4,,
Varari,V7,6/13/2022,Caulerpa racemosa,1,,
Varari,VSEEP,6/14/2022,Sand,195,,
Varari,VSEEP,6/14/2022,Bare Rock,4,,
Varari,VSEEP,6/14/2022,Padina boryana,1,,
Cabral,C11,6/15/2022,Montipora efflorescens,12,,
Cabral,C11,6/15/2022,Pavona cactus,4,,
Cabral,C11,6/15/2022,Pocillopora acuta,2,,
Cabral,C11,6/15/2022,Leptastrea transversa,1,,
Cabral,C11,6/15/2022,Bare Rock,15,,
Cabral,C11,6/15/2022,Sand,4,,
Cabral,C11,6/15/2022,Rubble,15,,
Cabral,C11,6/15/2022,Turf,38,,
Cabral,C11,6/15/2022,Crustose Corallines,17,,
Cabral,C11,6/15/2022,Turbinaria ornata,2,,
Cabral,C11,6/15/2022,coral11,2,6074-6080,
Cabral,C11,6/15/2022,coral12,2,6081-6089,
Cabral,C5,6/15/2022,Porites lobata,32,,
Cabral,C5,6/15/2022,Sand,59,,
Cabral,C5,6/15/2022,Rubble,21,,
Cabral,C5,6/15/2022,Turf,44,,
Cabral,C5,6/15/2022,Amphiroa fragilissima,5,,
Cabral,C5,6/15/2022,Purple Sponge,2,,
Cabral,C5,6/15/2022,Boodlea kaeneana,3,,
Cabral,C5,6/15/2022,Dictyosphaeria cavernosa,6,,
Cabral,C5,6/15/2022,Halimeda opuntia,4,,
Cabral,C5,6/15/2022,Halimeda macroloba,29,,
Cabral,C5,6/15/2022,Dictyota bartayresiana,2,,
Cabral,C5,6/15/2022,Padina boryana,2,,
Cabral,C5,6/15/2022,Rosenvingea intricata,1,,
Cabral,C5,6/15/2022,Amansia rhodantha,2,,
Cabral,C5,6/15/2022,Grey Sponge,2,,
Cabral,C8,6/15/2022,Montipora,1,6142-6150,capitata?
Cabral,C8,6/15/2022,Montipora efflorescens,1,,
Cabral,C8,6/15/2022,Montipora setosa,13,,
Cabral,C8,6/15/2022,Pocillopora acuta,8,,
Cabral,C8,6/15/2022,Sand,79,,
Cabral,C8,6/15/2022,Rubble,5,,
Cabral,C8,6/15/2022,Turf,68,,
Cabral,C8,6/15/2022,Crustose Corallines,2,,
Cabral,C8,6/15/2022,Turbinaria ornata,1,,
Cabral,C8,6/15/2022,Dictyosphaeria cavernosa,4,,
Cabral,C8,6/15/2022,Caulerpa serrulata,5,,
Cabral,C8,6/15/2022,Halimeda opuntia,9,,
Cabral,C8,6/15/2022,Halimeda macroloba,11,,
Cabral,C8,6/15/2022,Lobophora variegata,2,,
Cabral,C8,6/15/2022,Padina boryana,1,,
Cabral,C8,6/15/2022,Galaxaura fasciculata,1,,
Cabral,C8,6/15/2022,Amansia rhodantha,4,,
Cabral,C8,6/15/2022,Verongida sp.,2,,
Cabral,C10,6/15/2022,Pavona cactus,2,,
Cabral,C10,6/15/2022,Sand,109,,
Cabral,C10,6/15/2022,Crustose Corallines,1,,
Cabral,C10,6/15/2022,Dictyosphaeria cavernosa,7,,
Cabral,C10,6/15/2022,Ventricaria ventricosa,1,,
Cabral,C10,6/15/2022,Caulerpa serrulata,1,,
Cabral,C10,6/15/2022,Caulerpa racemosa,1,,
Cabral,C10,6/15/2022,Halimeda incrassata,1,,
Cabral,C10,6/15/2022,Halimeda macroloba,22,,
Cabral,C10,6/15/2022,Dictyota bartayresiana,1,,
Cabral,C10,6/15/2022,Lobophora variegata,1,,
Cabral,C10,6/15/2022,Padina boryana,2,,
Cabral,C10,6/15/2022,Gracilaria verrucosa,1,,
