;Aglaozonia.melanoidea;Cladostephus.spongiosus;Colpomenia.sinuosa;Dictyota.dichotoma;Dictyota.dichotoma.v.intricata;Dictyota.fasciola;Dictyota.spiralis;Halopteris.filicina;Halopteris.scoparia;Lobophora.variegata;Padina.pavonica;Pseudolithoderma.adriaticum;Sargassum.vulgare;Sphacelaria.cirrosa;Taonia.atomaria;Acrosorium.venulosum;Amphiroa.rigida;Amphiroa.cryptarthrodia;Corallina.elongata;Cryptonemia.lomation;Ethelia.van.bosseae;Gelidium.pusillum;Haliptilon.virgatum;Hildenbrandia.crouaniorum;Hydrolithon.farinosum;Jania.rubens;Neogoniolithon.brassica.florida;Parvocaulis.parvulus;Peyssonnelia.rosa.marina;Peyssonnelia.squamaria;Rhodophyllis.divaricata;Rhodymenia.ardissonei;Acetabularia.acetabulum;Bryopsis.duplex;Caulerpa.cylindracea;Cladophora.aff.coelothrix;Cladophora.coelothrix;Cladophora.prolifera;Flabellia.petiolata;Halicystis.parvula;Halimeda.tuna;Pedobesia.lamourouxii.;Valonia.utricularis;Turf.;Caccospongia.mollior;Chondrosia.reniformis;Cliona.viridis;Crambe.crambe;Haliclona.mediterranea;Hymedesmia.versicolor;Ircinia.dendroides;Ircinia.fasciculata;Myxilla.rosacea;Petrosia.ficiformis;Terpios.fugax;Stephanoscyphus.sp;Balanophyllia.europaea;Schizoporella.longicornis;Celleporina;Lichenopora.radiata;Watersipora.subovoidea;Salmacina.dysteri;Spirorbis.sp;Arca.noae;Patella.coerulea;Paracentrotus.lividus;Perforatus.perforatus;Ascidia.mentula;Cystodites.dellechiajei;Didemnum.sp;Diplosoma.spongiforme;Pyura.dura
1N3;3,225806452;0;0;0;0;0;0;0;0;0;0;16,12903226;0;0;0;0;0;0;0;0;0;0;0;40,32258065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40,32258065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2N3;3,076923077;0;0;0;0;0;0;0;0;0;0;23,07692308;0;0;0;0;0;0;0;0;4,615384615;0;0;38,46153846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30,76923077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3N3;5,882352941;0;0;0;0;0;0;0;0;0;0;22,05882353;0;0;0;0;0;0;0;0;1,470588235;0;0;33,82352941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,76470588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4N3;1,5625;0;0;0;0;0;0;0;0;0;0;20,3125;0;0;0;0;0;0;0;0;4,6875;0;0;39,0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34,375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5N3;0;0;0;28,57142857;1,19047619;0;0;11,9047619;17,85714286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,76190476;0;0;0;0;0;0;2,380952381;2,380952381;0;0;0;0;0;2,380952381;2,380952381;0;0;1,19047619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6N3;0;0;0;30,86419753;3,703703704;0;0;0;17,28395062;0;0;19,75308642;0;6,172839506;0;0;0;0;0;0;0;0;0;22,22222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7N3;0;0;0;33,33333333;2,898550725;0;0;2,898550725;28,98550725;0;0;0;0;2,898550725;0;0;0;0;0;0;0;0;0;10,14492753;0;0;0;0;0;0;0;7,246376811;0;0;0;0;0;7,246376811;4,347826087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8N3;0;0;0;34,24657534;0;0;0;0;2,739726027;0;0;0;0;4,109589041;0;0;0;0;0;0;4,109589041;5,479452055;0;31,50684932;1,369863014;0;0;0;0;0;0;0;0;0;0;8,219178082;0;0;6,849315068;1,369863014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9N3;0;0;0;0;0;0;0;0;0;0;0;33,33333333;0;0;0;0;0;0;0;0;0;0;0;33,33333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,33333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10N3;0;0;0;0;0;0;0;0;0;0;0;38,33333333;0;0;0;0;0;0;0;0;15;3,333333333;0;36,66666667;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11N3;0;0;0;9,090909091;0;0;0;0;0;0;0;22,07792208;0;0;0;0;0;0;0;0;0;0;0;24,67532468;0;0;0;0;0;0;0;0;0;0;0;0;0;2,597402597;15,58441558;0;0;0;0;25,97402597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12N3;0;0;0;18,86792453;0;0;0;0;0;0;0;43,39622642;0;0;0;0;0;0;0;0;0;0;0;3,773584906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,886792453;0;0;0;0;32,0754717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1N2;0;0;0;23,71134021;2,06185567;0;0;12,37113402;3,092783505;0;0;0;0;2,06185567;0;0;0;0;3,092783505;0;0;0;0;17,5257732;0;0;0;0;2,06185567;2,06185567;0;0;2,06185567;0;0;6,18556701;0;20,6185567;2,06185567;0;0;1,030927835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2N2;0;0;0;25,53191489;2,127659574;0;0;17,0212766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,53191489;0;0;0;0;0;4,255319149;1,063829787;0;3,191489362;1,063829787;0;8,510638298;0;5,319148936;2,127659574;0;0;0;0;0;0;2,127659574;0;2,127659574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3N2;0;0;0;23,58490566;1,886792453;1,886792453;0;21,69811321;1,886792453;0;0,943396226;0;0;0;0;0;0;0;1,886792453;0,943396226;0;0;0;2,830188679;0;0;0;0;1,886792453;7,547169811;0;4,716981132;1,886792453;0;1,886792453;19,81132075;0;2,830188679;0,943396226;0;0;0;0;0;0;0;0;0,943396226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4N2;0;0;1,136363636;26,13636364;4,545454545;0;0;4,545454545;0;0;0;0;0;0;0;0;0;0;2,272727273;0;0;0;0;3,409090909;3,409090909;0;0;0;0;7,954545455;0;2,272727273;1,136363636;0;0;21,59090909;0;6,818181818;10,22727273;0;0;0;0;0;0;0;0;4,545454545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5N2;0;0;1,265822785;16,4556962;0;0;0;0;10,12658228;0;0;0;0;7,594936709;0;0;0;0;0;0;0;0;0;30,37974684;0;0;0;0;0;3,797468354;0;0;0;0;0;0;3,797468354;2,53164557;6,329113924;0;0;0;0;1,265822785;0;0;0;3,797468354;1,265822785;0;0;0;0;0;0;0;0;0;0;0;0;0;5,063291139;0;0;0;6,329113924;0;0;0;0;0
6N2;0;0;0;10,61946903;2,654867257;1,769911504;0;0;11,50442478;0;0;0;0;7,079646018;0;0;0;0;1,769911504;0;0;0;0;19,46902655;0;0;1,769911504;0;0;3,539823009;0;0;3,539823009;0;0;0;11,50442478;10,61946903;7,96460177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,884955752;0;0;0;0;0;0;0;0;2,654867257;0;0;0;2,654867257;0;0;0;0;0
7N2;0;0;0;4,545454545;11,81818182;0,909090909;0;1,818181818;18,18181818;0;0,909090909;0;0;10,90909091;0;0;0;0;2,727272727;0;0;0;0;4,545454545;0;0;0;0;0;8,181818182;0;0;0,909090909;0;0;0;5,454545455;1,818181818;5,454545455;0;0;0;0;0;0;0;0;9,090909091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,181818182;0;0;0;3,636363636;0;0,909090909;0;0;0
8N2;0;0;0;10,98901099;0;0;0;0;20,87912088;0;0;0;0;9,89010989;0;0;0;0;4,395604396;0;0;0;0;9,89010989;0;0;0;0;0;6,593406593;0;0;0;0;0;0;5,494505495;4,395604396;7,692307692;0;0;0;0;0;0;0;0;13,18681319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,296703297;0;0;0;3,296703297;0;0;0;0;0
9N2;0;0;0;4,819277108;0;3,614457831;0;0;20,48192771;0;0;0;0;2,409638554;0;0;0;0;3,614457831;0;0;0;0;6,024096386;0;0;0;0;0;9,638554217;0;0;0;0;0;0;3,614457831;7,228915663;18,07228916;0;0;0;0;0;0;2,409638554;0;10,84337349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,819277108;0;0;0;2,409638554;0;0;0;0;0
10N2;0;0;0;8,571428571;0;0;0;0;30;0;0;0;0;1,428571429;0;0;0;0;1,428571429;0;0;0;0;11,42857143;0;0;0;0;0;7,142857143;0;0;2,857142857;0;0;0;0;4,285714286;14,28571429;0;0;0;0;0;0;0;0;14,28571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,857142857;0;0;0;1,428571429;0;0;0;0;0
11N2;0;0;0;14,73684211;1,052631579;0;0;0;25,26315789;0;0;0;0;3,157894737;0;0;0;0;4,210526316;0;0;0;0;7,368421053;0;0;0;0;0;9,473684211;0;0;0;0;0;0;3,157894737;4,210526316;17,89473684;0;0;0;0;0;0;0;0;5,263157895;0;0;0;0;0;0;0;0;0;0;1,052631579;0;0;0;0;0;0;0;2,105263158;0;0;1,052631579;0;0
12N2;0;0;0;20,40816327;0;0;0;0;5,102040816;0;0;0;0;4,081632653;0;0;0;0;19,3877551;0;0;0;0;9,183673469;0;0;6,12244898;0;0;0;0;0;0;0;0;0;12,24489796;2,040816327;6,12244898;0;0;0;0;0;0;0;0;7,142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,06122449;0;0;0;5,102040816;0;0;0;0;0
1N1;0;0;0;25,55555556;0;0;0;0;0;0;3,333333333;0;0;0;0;0;0;0;26,66666667;0;0;0;0;7,777777778;5,555555556;0;0;0;0;1,111111111;0;0;1,111111111;0;0;0;0;0;15,55555556;0;0;0;0;0;0;0;0;0;0;2,222222222;0;0;8,888888889;0;0;0;0;0;0;0;0;0;0;0;0;0;2,222222222;0;0;0;0;0
2N1;0;0;0;18,05555556;0;0;6,944444444;4,166666667;0;0;1,388888889;0;0;0;0;0;0;1,388888889;12,5;0;0;0;0;0;0;0;0;0;1,388888889;2,777777778;0;1,388888889;0;0;0;0;27,77777778;13,88888889;2,777777778;0;0;0;0;0;0;2,777777778;0;2,777777778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3N1;0;0;0;21,62162162;0;0;0;0;0;0;0;0;0;0,900900901;0;0;0;0;2,702702703;0;0;0;0;6,306306306;14,41441441;0;0;0;0,900900901;18,91891892;0;6,306306306;0;0;0;0;2,702702703;0;18,01801802;0;0;0;0;0;0;1,801801802;0;1,801801802;0;0;0;0;0;0;0;0;0;0;0;0,900900901;0;2,702702703;0;0;0;0;0;0;0;0;0;0
4N1;0;0;0;30,48780488;0;0;1,219512195;1,219512195;0;0;0;0;0;0;0;0;0;0;9,756097561;0;0;0;0;6,097560976;9,756097561;0;0;0;1,219512195;3,658536585;0;0;0;0;0;0;1,219512195;0;30,48780488;0;0;0;0;0;0;0;0;1,219512195;0;0;0;0;0;0;0;0;0;0;0;0;0;3,658536585;0;0;0;0;0;0;0;0;0;0
5N1;0;0;0;18,86792453;0;0;1,886792453;0;1,886792453;3,773584906;0;0;0;0;0;0;0;0;5,660377358;0;0;0;0;0;0;0;0;0;0;3,773584906;0;0;1,886792453;0;0;0;47,16981132;5,660377358;5,660377358;0;0;0;0;0;0;0;0;1,886792453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,886792453;0;0;0
6N1;0;0;0;25,71428571;2,857142857;0;2,857142857;0;0;0;0;0;0;10;0;0;0;0;27,14285714;0;0;0;0;7,142857143;0;1,428571429;2,857142857;0;0;0;0;0;1,428571429;0;1,428571429;0;14,28571429;0;0;0;0;0;0;0;0;1,428571429;0;0;0;0;1,428571429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7N1;0;0;0;25,80645161;5,376344086;0;3,225806452;0;0;0;2,150537634;0;0;0;0;0;1,075268817;0;24,7311828;0;0;0;0;2,150537634;2,150537634;2,150537634;0;0;2,150537634;6,451612903;0;0;2,150537634;0;0;0;9,677419355;0;10,75268817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8N1;0;0;0;26,02739726;0;0;5,479452055;0;0;0;2,739726027;0;0;4,109589041;0;0;0;0;20,54794521;0;0;0;0;9,589041096;0;0;10,95890411;0;0;0;0;0;1,369863014;0;0;0;10,95890411;0;1,369863014;0;0;0;0;0;0;0;0;2,739726027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,109589041;0;0;0;0;0
9N1;0;0;0;0;0;0;0;24,17582418;0;0;0;0;0;2,197802198;0;0;0;0;0;0;0;0;0;13,18681319;9,89010989;0;0;0;0;1,098901099;0;0;0;0;0;0;0;6,593406593;13,18681319;0;0;0;0;0;0;0;0;17,58241758;0;0;0;0;0;0;0;0;0;0;2,197802198;0;0;0;7,692307692;0;0;0;0;0;0;0;2,197802198;0
10N1;0;0;0;0;2,083333333;0;0;0;0;0;0;0;0;3,125;0;0;0;0;26,04166667;0;0;0;0;6,25;7,291666667;0;3,125;0;0;9,375;0;0;0;0;0;0;5,208333333;0;21,875;0;0;0;0;0;0;0;0;5,208333333;0;0;0;0;0;0;0;0;0;0;3,125;0;0;0;4,166666667;0;0;0;0;0;0;3,125;0;0
